chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.25784492,1741.089153424016,1647.5031834418314,3776.2967623197114,0.09144810267857142,-407.04584,129.99133,-49.053463,83.45581,-23.863325,4.117445,16.83711,-13.410516,17.429735,-10.584275,11.923208,-1.4619409,-6.650552,13.519756,-9.326407,11.054164,7.1583185,2.9566758,8.059972,-2.2364652,catAngry
0.25741294,1699.4030904189626,1674.5762771090865,3744.566981839818,0.07584850993377483,-437.73972,124.48766,-43.427704,80.950485,-21.181868,2.8806264,16.824423,-12.01307,16.148241,-9.253411,11.397946,-1.2369434,-6.287515,13.450011,-7.9724,11.201046,8.705625,3.8849175,8.12427,-1.8891268,catAngry
0.30789387,2873.068482668378,2248.448666323238,5723.336087740385,0.15817361349587913,-319.8377,89.83657,-48.455685,73.8481,-44.206528,40.356483,-26.008821,22.49237,-10.846263,5.5228953,6.4800644,-10.109507,12.158955,-11.534877,15.160545,-7.4241877,17.171824,-1.9663334,5.8403254,3.8915753,catAngry
0.25174525,1749.5678711967707,1666.722082862157,3786.767578125,0.09131664234203296,-406.986,129.96336,-49.04532,83.39057,-23.866402,4.1131554,16.83626,-13.385085,17.40862,-10.56256,11.974215,-1.4572326,-6.6558456,13.528436,-9.27692,11.044231,7.1679406,3.0196807,8.057694,-2.1973696,catAngry
0.25168124,1935.55060658023,1873.2419624281915,4246.241173377404,0.08714210594093406,-430.72363,115.015816,-37.380672,79.98855,-37.62565,21.78435,2.5283828,-2.7906933,11.203548,-8.793797,14.843044,-13.700651,12.664147,2.7226374,2.3692303,15.413102,-3.4185302,7.1315503,-2.9210331,6.24048,catAngry
0.3013288,2814.464508906777,2243.40064099988,5022.183145059122,0.19724865769787644,-444.0988,42.644676,-1.1249349,-3.2475464,-37.81271,-1.0250367,-23.886963,-4.5898547,-19.972729,-4.8224564,-25.79401,-5.9933877,-19.302433,-13.467837,-12.473347,-3.6064312,0.1802427,13.249052,5.82843,10.030463,catAngry
0.2996327,2295.0716768366715,1794.2874348179055,3957.673136393229,0.16710521556712962,-487.53555,73.49315,-25.157557,15.427578,-51.515156,10.833033,-26.415035,-4.5462365,-12.426491,-13.859412,-12.885638,-19.37567,-5.3365793,-26.379652,-1.9658017,-12.250927,5.7312827,9.056784,5.5127587,10.417082,catAngry
0.36578274,3022.478998964346,2159.4461754684867,5775.346415751689,0.1889045155646718,-319.69,71.68923,-54.777313,45.947437,-47.922276,31.477474,-30.284182,13.890823,-10.967671,-2.2707274,-0.9500137,-13.358546,5.817875,-17.773905,9.969825,-9.344298,12.898476,2.8588245,9.55384,7.512845,catAngry
0.29581636,2280.9778384466035,1746.676680855058,3793.5850401182433,0.17495362270752896,-460.19012,65.974014,-20.962465,14.678389,-49.845085,7.629695,-25.848991,-5.7891183,-12.671064,-13.826592,-12.9224415,-18.380682,-5.177968,-24.863583,-1.228114,-10.852479,6.3523703,11.017096,7.216183,11.890768,catAngry
0.29105315,2285.6958277028584,1727.6299127969571,3747.2346125422296,0.17269320101351351,-490.5333,68.85388,-28.076376,6.0028157,-48.946503,10.392557,-27.575054,-6.2509418,-14.172937,-20.35682,-12.4916315,-19.064056,-9.479994,-15.230044,8.325883,1.0950755,15.285906,3.6189113,-1.6063218,-4.099955,catAngry
